service_id,date,exception_type
1414688,20260408,1
1414688,20260409,1
1414688,20260410,1
1414688,20260413,1
1414688,20260414,1
1414688,20260415,1
1414688,20260416,1
1414688,20260417,1
1414688,20260504,1
1414688,20260505,1
1414689,20260408,1
1414689,20260409,1
1414689,20260410,1
1414689,20260413,1
1414689,20260414,1
1414689,20260415,1
1414689,20260416,1
1414689,20260417,1
1414689,20260504,1
1414689,20260505,1
1414690,20260408,1
1414690,20260409,1
1414690,20260410,1
1414690,20260413,1
1414690,20260414,1
1414690,20260415,1
1414690,20260416,1
1414690,20260417,1
1414690,20260504,1
1414690,20260505,1
1414691,20260408,1
1414691,20260409,1
1414691,20260410,1
1414691,20260413,1
1414691,20260414,1
1414691,20260415,1
1414691,20260416,1
1414691,20260417,1
1414691,20260504,1
1414691,20260505,1
1414692,20260408,1
1414692,20260409,1
1414692,20260410,1
1414692,20260413,1
1414692,20260414,1
1414692,20260415,1
1414692,20260416,1
1414692,20260417,1
1414692,20260504,1
1414692,20260505,1
1414693,20260408,1
1414693,20260409,1
1414693,20260410,1
1414693,20260413,1
1414693,20260414,1
1414693,20260415,1
1414693,20260416,1
1414693,20260417,1
1414693,20260504,1
1414693,20260505,1
1414694,20260408,1
1414694,20260409,1
1414694,20260410,1
1414694,20260413,1
1414694,20260414,1
1414694,20260415,1
1414694,20260416,1
1414694,20260417,1
1414694,20260504,1
1414694,20260505,1
1414695,20260408,1
1414695,20260409,1
1414695,20260410,1
1414695,20260413,1
1414695,20260414,1
1414695,20260415,1
1414695,20260416,1
1414695,20260417,1
1414695,20260504,1
1414695,20260505,1
1414696,20260408,1
1414696,20260409,1
1414696,20260410,1
1414696,20260413,1
1414696,20260414,1
1414696,20260415,1
1414696,20260416,1
1414696,20260417,1
1414696,20260504,1
1414696,20260505,1
1414697,20260408,1
1414697,20260409,1
1414697,20260410,1
1414697,20260413,1
1414697,20260414,1
1414697,20260415,1
1414697,20260416,1
1414697,20260417,1
1414697,20260504,1
1414697,20260505,1
1414698,20260408,1
1414698,20260409,1
1414698,20260410,1
1414698,20260413,1
1414698,20260414,1
1414698,20260415,1
1414698,20260416,1
1414698,20260417,1
1414698,20260504,1
1414698,20260505,1
1414699,20260408,1
1414699,20260409,1
1414699,20260410,1
1414699,20260413,1
1414699,20260414,1
1414699,20260415,1
1414699,20260416,1
1414699,20260417,1
1414699,20260504,1
1414699,20260505,1
1414700,20260408,1
1414700,20260409,1
1414700,20260410,1
1414700,20260413,1
1414700,20260414,1
1414700,20260415,1
1414700,20260416,1
1414700,20260417,1
1414700,20260504,1
1414700,20260505,1
1414701,20260408,1
1414701,20260409,1
1414701,20260410,1
1414701,20260413,1
1414701,20260414,1
1414701,20260415,1
1414701,20260416,1
1414701,20260417,1
1414701,20260504,1
1414701,20260505,1
1414702,20260408,1
1414702,20260409,1
1414702,20260410,1
1414702,20260413,1
1414702,20260414,1
1414702,20260415,1
1414702,20260416,1
1414702,20260417,1
1414702,20260504,1
1414702,20260505,1
1414703,20260408,1
1414703,20260409,1
